species_name,Output_name,中文名,生活型,株,茎,枝,叶,花,果,种子,国内产地,国外分布,特有性,生境,海拔,物候期
Nymphaea candida,Nymphaea candida C. Presl,雪白睡莲,多年生水生草本；,NA,NA,NA,叶近圆形或卵圆形，长15-30厘米，宽10-18厘米，基部裂片相接或重叠；,花白色，径10-12厘米；花梗与叶柄近等长；萼片卵状长圆形，长3.5-4厘米，宽1.4-1.6厘米，脱落或花后枯萎；花瓣12-20，白色，卵状长圆形，外轮与萼片等长或稍短，向内渐短；花托稍四角形；雄蕊多数，内轮花丝披针形，宽于花药；柱头辐射状裂片6-14，深凹；,浆果扁平或半球形；,种子长3-4毫米；,新疆；,西伯利亚、中亚、欧洲；,NA,池沼中；,NA,NA
Nymphaea lotus,Nymphaea lotus L.,齿叶睡莲,多年生水生草本；,NA,根茎肥厚，匍匐；,NA,叶近革质，漂浮，卵圆形，径15-26厘米，基部具深弯缺，上面粗糙，下面带红色，密被柔毛或微柔毛，老叶近无毛，叶缘具弯缺三角状锐齿；叶柄近叶缘盾状着生，长达50厘米，无毛；,花径2-8厘米，浮于水面；花梗和叶柄近等长；萼片长圆形，长5-8厘米；花瓣12-14，白、红或粉红色，长圆形，长5-9厘米，先端纯圆，具5纵条纹；外轮雄蕊花瓣状，内轮不孕，花丝宽约2毫米；柱头具12-15辐射线及棒状附属物；,浆果内凹卵形，长约5厘米，径约4厘米，雄蕊部分宿存；种子球形，具假种皮；,NA,NA,NA,NA,NA,NA,花期8-10月，果期9-11月；
Nymphaea pubescens,Nymphaea pubescens Willd.,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nymphaea mexicana,Nymphaea mexicana Zucc.,黄睡莲,本种与白睡莲的区别：根茎直立，块状；叶上面具暗褐色斑纹，下面具黑色小斑点；花黄色，径约10厘米；,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nymphaea nouchali,Nymphaea nouchali Burm. f.,延药睡莲,多年生水生草本；,NA,根茎短，肥厚；,NA,叶纸质，圆形或椭圆形，长7-19厘米，宽7-10厘米，基部具弯缺，裂片平行或开展，具浅波状钝齿，上面绿色，下面带紫色，两面无毛，具小点；叶柄长达50厘米；,花梗和叶柄近等长；萼片线形或长圆状披针形，长7-8厘米，宿存；花瓣白色带青紫、蓝或紫红色，线状长圆形或披针形，长4.5-5厘米，先端尖或稍钝圆，内轮变态为雄蕊；雄蕊33-54，花药药隔顶端具长附属物；柱头具10-30辐射线，顶端成短角，无附属物；,浆果球形；,种子具条纹；,NA,NA,NA,NA,NA,花果期7-12月；
Nymphaea tetragona,Nymphaea tetragona Georgi,睡莲,多年生水生草本；,NA,根茎粗短；,NA,叶漂浮，薄革质或纸质，心状卵形或卵状椭圆形，长5-12厘米，宽3.5-9厘米，基部具深弯缺，全缘，上面深绿色，光亮，下面带红或紫色，两面无毛，具小点；叶柄长达60厘米；,花梗细长；萼片4，宽披针形或窄卵形，长2-3厘米，宿存；花瓣8-17，白色，宽披针形，长圆形或倒卵形，长2-3厘米；雄蕊约40;柱头辐射状裂片5-8；,浆果球形，径2-2.5厘米，为宿萼包被；,种子椭圆形，长2-3毫米，黑色；,NA,NA,NA,NA,NA,花径3-5厘米；
Nuphar pumila subsp. pumila,,Nuphar pumila subsp. pumila,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nymphaea micrantha,Nymphaea micrantha Guill. & Perr.,小花睡莲,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nymphaea alba var. alba,,Nymphaea alba var. alba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nymphaea pygmaea,Nymphaea pygmaea W.T.Aiton,矮睡莲,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
