species_name,Output_name,中文名,生活型,株,茎,枝,叶,花,果,种子,国内产地,国外分布,特有性,生境,海拔,物候期
Piper nigrum,Piper nigrum L.,胡椒,攀援藤本；,NA,茎、枝无毛，节常生根；,NA,叶近革质，宽卵形或卵状长圆形，稀近圆形，长10-15厘米，先端短尖，基部圆，稍偏斜，两面无毛，叶脉5-7(-9)，最上1对互生，离基1.5-3.5厘米，余均基出，网脉明显；叶柄长1-2厘米，无毛；,花杂性，常雌雄同株：花序与叶对生，短于叶或与叶等长，花序梗与叶柄等长，无毛；苞片匙状长圆形，长3-3.5厘米，中部宽约0.8毫米，贴生于花序轴，先端宽圆，边缘与花序轴分离，呈浅杯状；雄蕊2，花丝粗短，花药肾形；子房球形，柱头3-4(5)；,核果球形，无柄，径3-4毫米，红色，未成熟干后黑色；,NA,我国台湾、福建、广东、广西及云南等省区均有栽培；,原产东南亚，现广植于热带地区；,NA,NA,NA,花期6-10月；
Piper nudibaccatum,Piper nudibaccatum Tseng,裸果胡椒,NA,NA,NA,NA,NA,攀援藤本，除花序轴、苞片柄和柱头外无毛；枝有纵棱，多少具疣状凸起；叶纸质，干时呈苍白色，有细腺点，椭圆形、长椭圆形或卵状长圆形，长10-19厘米，宽3.5-9厘米，顶端短尖至渐尖，基部渐狭或下部的叶有时钝圆，两侧相等或略有不等；叶脉7条，最上1对通常互生，离基3-6厘米从中脉发出，弯拱上升，余者均基出，最外1对极细弱，自基部斜上升约2-6厘米即弯拱网结，网状脉明显；叶柄长1.2-2厘米；叶鞘延长，与叶柄近等长；花单性，雌雄异株，聚集成与叶对生的穗状花序；,NA,NA,云南东南至西南部（东起富宁，西至泸水以南各地）；,NA,NA,山坡或沟谷密林中；,900-2000m；,花期4-6月；
Piper pedicellatum,Piper pedicellatum C. DC.,角果胡椒,NA,NA,NA,枝径1-2毫米，具纵纹；,叶卵形、窄卵形或椭圆形，长7-14厘米，厚纸质，被腺点，先端短尖或渐尖，基部不等，叶脉(7-)9，上面2对离基，最上1对互生，离基2-4厘米，网脉明显；叶柄长0.5-1厘米；,花单性，雌雄异株，穗状花序与叶对生；雄花序纤细，长15-25厘米，总梗长达2厘米；苞片圆形，宽0.5-1毫米，盾状，具柄，基部被短柔毛；雄蕊2，花丝极短或几无，花药卵形至球形；,果序长9-14厘米，核果倒卵圆形，具4棱，长1.5-2毫米；,NA,云南东南部、南部至西部（金平经西双版纳至瑞丽）；,印度、孟加拉东部及越南北部；,NA,密林中，攀援于树上；,1100-2400m；,花期4-6月；
Piper pingbienense,Piper pingbienense Tseng,屏边胡椒,攀援藤本；枝有明显的纵纹，干时变黄褐色，被相当密的粗毛；,NA,NA,NA,叶纸质，有细腺点，卵形或长卵形，长7.5-13厘米，宽4-8厘米，顶端短渐尖，尖头钝，基部钝圆，两侧相等或有时稍不等，腹面脉上被粗毛，中脉基部尤著，背面各处被倒伏的疏粗毛；叶脉7条，最上1对离基0.5-1.5厘米从中脉发出，余者均基出，网状脉明显；叶柄长5-15毫米，被粗毛；叶鞘长为叶柄的3/4或过之；,花单性，雌雄异株，聚集成与叶对生的穗状花序；雄花序长7-14厘米，下垂；总花梗略长于叶柄；苞片倒卵形，腹面或多或少贴生于花序轴上，盾状；雄蕊2枚；,未成熟浆果卵形，长约4毫米，直径约3毫米，无毛；,NA,云南东南部（西畴、马关、屏边）；,NA,NA,林中；攀援于树上或石上；,1100-1300m；,花期5-8月；
Piper pleiocarpum,Piper pleiocarpum Chang ex Tseng,线梗胡椒,NA,NA,NA,枝径1-2毫米；,下部叶卵形，长5-6厘米，宽3.5-4.5厘米，薄纸质，被腺点，先端渐尖，基部钝圆，叶脉5-7，最上1对离基0-0.7厘米，余基出；上部叶卵状披针形或窄椭圆形，长6-9厘米，先端尾尖，基部楔形，稀钝圆，常微缺；叶柄长0.6-2厘米；,花单性，雌雄异株；雄花序长约5厘米，花序轴疏被毛；苞片卵形，宽约1毫米，无柄，盾状；雄蕊2，花丝稍粗于花药，花药球形；雌花序近球形，总梗长约3.5厘米；苞片近圆形，子房下部与花序轴合生，柱头3-4，卵形；,核果干时黑色，球形，径约4毫米，、部分埋藏于花序轴内；,NA,云南西南部（凤庆、临沧至澜沧、孟连）；,NA,NA,密林下；攀援于树上；,2100-2700m；,花期10月，果期翌年5月；
Piper polysyphonum,Piper polysyphonum C. de Candolle,樟叶胡椒,直立亚灌木；,高约1米许或稍过之，除花序轴外全部无毛; 枝干时变黑色，节处显著膨大；,茎干时黑色；,NA,叶纸质，干时下面带淡红色，被腺点，椭圆形或宽椭圆形，长11-19厘米，先端短渐尖，具短尖头，基部短窄或近楔形，两侧常相等，叶脉5-7，最上1对互生，离基2.5-5厘米，余基出或近基出，网脉明显叶柄长约1厘米；,直立亚灌木，高达1米以上，除花基部稍被毛外，余无毛；花单性，雌雄异株；,核果卵圆形，干时黑色，无柄，具疣，径3-3.5毫米；,NA,贵州西南部（安龙）、云南东南至西南部（东起河口，经西双版纳至沧源、耿马、凤庆）；,NA,NA,林中湿润处；,760-1400m；,花期4-6月；
Piper ponesheense,Piper ponesheense C. DC.,肉轴胡椒,攀援藤本；枝有粗纵棱，幼时被疏粗毛，干后变灰黑色；,NA,NA,NA,叶硬纸质，无腺点，卵形或上部的长卵形，长4.5-9厘米，宽2.5-6厘米，顶端短尖，基部钝圆，两侧稍不等，两面均无毛; 叶脉7条，在背面极凸起，最上1对离基8-20毫米从中脉发出，最外1对通常细弱，网状脉明显；叶柄通常长约1厘米，稀有下部的可达1.5厘米，被粗硬毛，毛在向轴面尤著; 叶鞘仅在叶柄基部具有，有时略延长；,花单性，雌雄异株，聚集成与叶对生的穗状花序；雄花序于花期长5-8.5厘米，直径达2毫米；总花梗被硬毛，长约1厘米；花序轴无毛；苞片圆形，无柄，直径约1毫米，无毛；雄蕊3枚，花药肾形，2裂，花丝粗，与花药近等长；,果未见；,NA,云南南部至西南部（普洱经镇康至龙陵)；,缅甸；,NA,山顶或山谷林中；攀援于石上或树上；,1400-2000m；,花期3-4月；
Piper puberulilimbum,Piper puberulilimbum C. DC.,毛叶胡椒,NA,NA,NA,NA,NA,NA,NA,NA,云南东南至西南部（西畴经西双版纳至凤庆）；,NA,NA,疏林或密林湿润地；,1200-1900m；,花期5-7月；
Piper retrofractum,Piper retrofractum Vahl,假荜拔,攀援藤本，各部均无毛，枝圆柱形，干时具纵纹而带褐色，花枝直径约2毫米；,NA,NA,NA,叶硬纸质，有密腺点，干时带苍白色，狭椭圆形、卵状长圆形或椭圆形，长8.5-16厘米，宽3.2-7.5厘米，顶端短渐尖至短尖，基部近相等至不等，两侧均钝或一侧略狭而短，有时狭短的一侧稍凹入而呈半心形；叶脉羽状，中脉每边发出的侧脉通常4-5条，少有较多；叶柄长5-11毫米，两侧差距可达4-5毫米；叶鞘短，仅限于叶柄基部具有；,花单性，雌雄异株，聚集成与叶对生的穗状花序；雄花序长5-6.5厘米；总花梗略长于叶柄；苞片圆形，无柄，盾状，直径1-1.2毫米，雄蕊2或3枚，花药阔长圆形，近无花丝；,NA,NA,我国仅见于广东（广州）有栽培；印度、泰国、越南、马来西亚、印度尼西亚、菲律宾也有，上述这些国家有的亦为栽培，原产地可能是帝汶岛；,NA,NA,NA,NA,花期5-7月；
Piper rhytidocarpum,Piper rhytidocarpum J. D. Hooker,皱果胡椒,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piper rubrum,Piper rubrum C. DC.,红果胡椒,NA,NA,NA,NA,叶长圆形或卵状披针形，长7-12厘米，硬纸质，密被腺点，先端渐尖至长渐尖，具小尖头，基部稍圆或楔形；叶脉5，最上1对离基约1.5厘米，下面网脉明显；叶柄长(0.4-)1-1.5厘米；,花单性，雌雄异株，穗状花序与叶对生；雄花序长不及1.5厘米，花序轴被毛；苞片圆形，宽0.7毫米，盾状，被毛；雄蕊2；,核果红色，干后褐色，球形，径约3毫米；,NA,云南南部（金平）；,越南北部；,NA,攀援于树上；,350m；,花期4-5月；
Piper sarmentosum,Piper sarmentosum Roxb.,假蒟,多年生、匍匐、逐节生根草本，长数至10余米；小枝近直立，无毛或幼时被极细的粉状短柔毛；,长达10余米，各部有时被粉状细柔毛；,NA,能育小枝近直立；,叶近膜质，有细腺点，下部的阔卵形或近圆形，长7-14厘米，宽6-13厘米，顶端短尖，基部心形或稀有截平，两侧近相等，腹面无毛，背面沿脉上被极细的粉状短柔毛；叶脉7条，干时呈苍白色，背面显著凸起，最上1对离基1-2厘米从中脉发出，弯拱上升至叶片顶部与中脉汇合，最外1对有时近基部分枝，网状脉明显；上部的叶小，卵形或卵状披针形，基部浅心形、圆、截平或稀有渐狭；叶柄长2-5厘米，被极细的粉状短柔毛，匍匐茎的叶柄长可达7-10厘米；叶鞘长约为叶柄之半；,花单性，雌雄异株，聚集成与叶对生的穗状花序；雄花序长1.5-2厘米，直径2-3毫米；总花梗与花序等长或略短，被极细的粉状短柔毛；花序轴被毛；苞片扁圆形，近无柄，盾状，直径0.5-0.6毫米; 雄蕊2枚，花药近球形，2裂，花丝长为花药的2倍；,核果近球形，具4棱，径2.5-3毫米，部分与花序轴合生；,NA,福建、广东、广西、云南、贵州及西藏（墨脱）各省区；,印度、越南、马来西亚、菲律宾、印度尼西亚、巴布亚新几内亚；,NA,林下或村旁湿地上；,NA,花期4-11月；
Piper semiimmersum,Piper semiimmersum C. DC.,缘毛胡椒,攀援藤本；,NA,NA,枝干具粗沟纹，密被硬毛；,叶长圆状卵形或卵状披针形，枝端叶长圆形，长11-18厘米，纸质，具腺点，先端短渐尖，上面无毛，稀中脉基部疏被毛，下面沿脉被微硬毛，叶脉7，最上1对常互生，离基1-2(-2.7)厘米，余基出，网脉明显；叶柄长0.8-1.3厘米，疏被长毛；,花单性，雌雄异株，穗状花序总梗长2-2.5厘米，疏被毛，与叶对生；雄花序长7-8厘米，径约2.5毫米，花序轴被毛；苞片近圆形，宽约1.2毫米，近无柄，盾状，被乳头状毛，密生缘毛；雄蕊2，花药肾形，2室，花丝极短；雌花序总梗长3-4厘米，被毛，花序轴被毛〗子房部分埋于花序轴，柱头3-4，线形；,果序长约6厘米，径7-8毫米，核果球形，径约3毫米，顶端脐状凸起；,NA,广西西部（扶绥）、贵州西南部（安龙）和云南东南（西畴、马关、河口、金平、屏边、蒙自）至西南部（西双版纳）；,越南北部；,NA,山谷水旁密林中或村旁湿润地；,280-900m；,花期1-5月；
Piper senporeiense,Piper senporeiense Yamam.,斜叶蒟,NA,NA,NA,NA,NA,NA,NA,NA,广东海南中南部（万宁、保亭、崖县）；,NA,NA,疏林或密林中，攀援于树上或石上；,NA,花期4-7月；
Piper sintenense,Piper sintenense Hatusima,小叶爬崖香,攀援或匍匐藤本；,长达数米；,茎节生根，幼时密被锈色柔毛，老时脱落稀疏，毛常向上弯曲；,匍匐枝叶卵形或卵状长圆形，长3.5-5厘米，膜质，被腺点，基部心形，两侧稍不等，两面被粗毛，下面脉上较密，毛常向上弯曲，后脱落稀疏；小枝叶长椭圆形、长圆形或卵状披针形，长7-11厘米，先端短渐尖，基部偏斜或半心形，叶脉5-7，最上1对离基1-2厘米，余近基出，网脉明显；叶柄长0.5-2.5厘米，被粗毛；,叶薄，膜质，有细腺点，匍匐枝的叶卵形或卵状长圆形，长3.5-5厘米，宽2-3厘米，顶端短尖或钝，基部心形，两侧稍不等，两面被粗毛，背面脉上尤甚，毛通常向上弯曲，且脱落变稀疏；叶柄长1-2.5厘米，被粗毛，基部具鞘；小枝的叶长椭圆形、长圆形或卵状披针形，长7-11厘米，宽3-4.5厘米，顶端短渐尖，基部偏斜或半心形，叶脉5-7条，最上1对互生或近对生，离基1-2厘米从中脉发出，余者均近基出，网状脉明显，被毛与匍匐枝的叶相同，但叶柄较短，长5-10毫米；,花单性，雌雄异株，穗状花序与叶对生；雌花序长4-5.5厘米，柱头4，线形；,浆果倒卵圆形，顶端稍凹下，离生，径约2毫米；,NA,东南至西南部各省区，东起台湾，西至西藏；,NA,NA,疏林或山谷密林中；常攀援于树上或石上；,100-2500m；,花期3-7月；
Piper stipitiforme,Piper stipitiforme Chang ex Tseng,短柄胡椒,NA,NA,NA,NA,NA,NA,NA,NA,云南西南部（勐海、沧源）；,NA,NA,山谷密林中，攀援于树上；,800-1340m；,花期5-7月；
Piper submultinerve,Piper submultinerve C. DC.,多脉胡椒,攀援藤本，长达12米；,长达12米；,NA,枝具粗纵棱，密被微硬毛；,叶纸质，密生腺点，卵形，稀长圆形，长13-20厘米，先端短尖或渐尖，基部深心形，上面沿脉被毛，下面被硬毛，叶脉7或9，最上1对离基0.5-1厘米，余基出或近基出，网脉明显，在下面稍凸起；叶柄长1.5-3.5；,花单性，雌雄异株，穗状花序与叶对生；苞片圆形，近无柄，盾状，宽约1毫米，无毛；柱头4-5，外弯，线形，顶端短尖；,核果球形，径约3毫米，部分与花序轴合生；,NA,云南南部（思茅）和东南部（金平、西畴）；,NA,NA,林中水旁荫湿处；攀援于树上或石上；,1400-1800m；,花期5-6月；
Piper submultinerve var. submultinerve,,Piper submultinerve var. submultinerve,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piper submultinerve var. nandanicum,Piper submultinerve var. nandanicum Tseng,狭叶多脉胡椒,NA,NA,NA,NA,NA,NA,NA,NA,广西西部（巴马）和西北部（南丹）；,NA,NA,山谷疏林下；攀援于树上或石上；,约2500m；,花期4-5月；
Piper suipigua,Piper suipigua Buchanan-Hamilton ex D. Don,滇西胡椒,NA,NA,NA,NA,叶近革质，有腺点，长卵形、长圆形或狭椭圆形，长6-12厘米，宽2-5.5厘米，顶端长渐尖或尾状渐尖，具直或弯的尖头，基部钝圆而相等，或上部的叶基部短狭稍不等，叶脉5-7条，在下面凸起，尤以中脉为甚，最上1对对生或少有互生，离基6-20毫米从中脉发出，弯拱上升几达叶片顶部，余者均自基部发出，如为7脉时，则最外1对细弱，网状脉在背面明显；叶柄长11-30厘米，基部具鞘；,花单性，雌雄异株；雄花序长8-16厘米，直径2-2.2毫米；总花梗略长于叶柄; 花序轴被微硬毛；苞片圆形或近圆形，近无柄，盾状，直径约1.2毫米；雄蕊3枚，花药卵形，与花丝等长；,浆果卵形，顶端尖，无毛，长约4毫米；,NA,云南西部（怒江以西）；,尼泊尔、不丹、印度东部；,NA,密林中，攀援于树上；,NA,花期不详；
Piper sylvaticum,Piper sylvaticum Roxb.,长柄胡椒,草质藤本；茎、枝匍匐，节上生根，干时有纵棱和沟纹，小枝直立，幼时被极细的粉状短柔毛；,NA,NA,NA,叶纸质，有密细腺点，下部的卵圆形、阔卵形或卵形，上部的狭卵形至卵状披针形，长8-11厘米，宽4-8.5厘米，顶端渐尖，基部深至浅心形，两侧相等，腹面无毛或有时仅在中脉基部被极细的粉状短柔毛，背面沿脉上密被极细的粉状短柔毛；叶脉7条，最上1对离基约7-15毫米从中脉发出，余者均基出，小脉斜出，网眼大，明显；花枝下部的叶柄长约4厘米，枝端的长仅1厘米，营养枝的长达7厘米，均被极细的粉状短柔毛；叶鞘长为叶柄之半或稍过之；,花单性，雌雄异株；雄花序长5-8厘米，纤细；苞片圆形，盾状；雄蕊4枚，花药肾形，花丝短；,NA,NA,云南南部（西双版纳）；,印度、孟加拉、缅甸；,NA,林中湿润处；,NA,花期8-9月；
Piper taiwanense,Piper taiwanense Lin & Lu,台湾胡椒,攀援藤本；,疏被短柔毛或近无毛；,NA,NA,叶卵形或长圆状卵形，长4.5-12厘米，厚纸质，先端短尖或钝圆，基部钝圆或心形，基生脉5-7;叶柄长0.7-1.5厘米；,雌雄异株，穗状花序与叶对生；雄花序稍下垂，长2-6厘米，总梗长0.8-1.5厘米；苞片圆形，近无柄；雌花序稍下垂，长1-3.5厘米，总梗长0.7-2厘米；子房离生，柱头4-7裂，线形；,核果球形；,NA,NA,NA,NA,NA,NA,NA
Piper thomsonii,Piper thomsonii (C. DC.) Hook. f.,球穗胡椒,草质攀援藤本，长1-2米许；枝干时具细纵纹，无毛；,NA,NA,NA,叶纸质，有细腺点，卵形、卵状披针形或椭圆形，长6.5-14厘米，宽4-8厘米，顶端渐尖至长渐尖，基部通常偏斜，钝圆或浅心形，两面沿脉上被极细的粉状短柔毛（放大镜下始见），背面尤著，老时脱落；叶脉7条，最上1对离基5-15毫米从中脉发出，基部常与中脉平行紧贴，其余2对均自基出；叶柄长1-2厘米，被极细的短柔毛；叶鞘长为叶柄的1/2或稍过之；,花单性，雌雄异株，聚集成与叶对生的穗状花序；雄花序于花期比叶片短3倍，密花；花序轴被毛；苞片圆形，无毛，近无柄，盾状，直径约1毫米；雄蕊4枚；,浆果球形，密集，干时变黑色，直径约2毫米；,NA,云南中南部至东南部（楚雄、景东至西畴）；,印度东部；,NA,山谷密林或疏林中；攀援于树上；,1300-1700m；,花期4-6月；
Piper thomsonii var. thomsonii,,Piper thomsonii var. thomsonii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piper thomsonii var. microphyllum,Piper thomsonii var. microphyllum Tseng,小叶球穗胡椒,NA,NA,NA,NA,NA,NA,NA,NA,云南中南部至东南部（景东、屏边、金平、西畴）以及西北部（贡山独龙江两岸）；,NA,NA,密林或疏林湿润处；攀援于树上；,1300-2100m；,花期4-6月；
Piper tricolor,Piper tricolor Tseng,三色胡椒,攀援藤本；枝有明显细纵纹，无毛，干时变淡褐色，直径约2毫米；,NA,NA,NA,叶厚纸质，无明显腺点，干时变淡黄色，椭圆形或狭卵形，少有卵形，长7-13厘米，宽4-6.5厘米，顶端短尖，基部钝圆，两侧相等或稍不等，腹面无毛，背面各处被粗伏毛，毛长通常约1毫米；叶脉7条，最内1对互生，离基1-2厘米从中脉发出，斜上升直达叶片顶部，余者均基出，最外1对极细弱，横伸1-1.5厘米即弯拱网结，网状脉明显；叶柄长1.5-2厘米，被疏粗毛，仅基部具鞘；,花单性，雌雄异株，聚集成与叶对生的穗状花序；雌花序尚未开放时长约3.5厘米，直径约4毫米；总花梗长1.5-2.5厘米，无毛；花序轴被毛；苞片近圆形，具被毛的短柄，直径约1.6毫米，盾状，背面干时呈现三种不同的颜色，中心部直径达1毫米为黑色，紧接黑色边缘有一增厚呈环状或马蹄形的狭边为白色，最外一圈较薄，淡黄色；子房卵形，无毛，离生，柱头4-5，很短而外反；,果未见；,NA,云南，未见野外记录；,NA,NA,NA,NA,NA
Piper tsangyuanense,Piper tsangyuanense P. S. Chen et P. C. Zhu,粗穗胡椒,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piper tsengianum,Piper tsengianum M. G. Gilbert & N. H. Xia,瑞丽胡椒,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piper umbellatum,Piper umbellatum Linnaeus,大胡椒,直立亚灌木；,高达2米；,茎粗壮；,NA,叶宽卵形或近圆形，长17-37厘米，膜质，密被褐色腺点，先端短尖或钝圆，基部深心形，无毛或沿脉被微硬毛，叶脉11-13，最上1对近对生，离基1-2厘米，余基出；叶柄长15-25厘米，无毛或稍微硬毛；,花两性；穗状花序长7-12厘米，常2-7花序组成伞状，总梗粗长，花序轴无毛；苞片三角形，长约1毫米，具柄，盾状，具缘毛；花药肾形，长于花丝；,核果倒卵圆形或楔状倒卵形，长0.7-1毫米，被腺点；,NA,台湾中南部（莲花、南投、嘉义、高雄、屏东及兰屿）；,印度、斯里兰卡、柬埔寨、印度尼西亚、马来西亚、菲律宾以及非洲、美洲热带和亚热带地区都；,NA,林中湿润处；,NA,花期11月；
Piper wallichii,Piper wallichii (Miq.) Hand.-Mazz.,石南藤,攀援藤本；枝被疏毛或脱落变无毛，干时呈淡黄色，有纵棱；,NA,NA,NA,叶硬纸质，干时变淡黄色，无明显腺点，椭圆形，或向下渐次为狭卵形至卵形，长7-14厘米，宽4-6.5厘米，顶端长渐尖，有小尖头，基部短狭或钝圆，两侧近相等，有时下部的叶呈微心形，如为微心形时，则其凹缺之宽度狭于叶柄之宽度，腹面无毛，背面被长短不一的疏粗毛；叶脉5-7条，最上1对互生或近对生，离基1-2.5厘米从中脉发出，弧形上升至叶片3/4处弯拱连接，余者均基出，如为7脉时，则最外1对细弱而短，网状脉明显；叶柄长1-2.5厘米，无毛或被疏毛；叶鞘长8-10毫米；,花单性，雌雄异株，聚集成与叶对生的穗状花序；雄花序于花期几与叶片等长，稀有略长于叶片者；总花梗与叶柄近等长或略长，无毛或被疏毛；花序轴被毛；苞片圆形，稀倒卵状圆形，边缘不整齐，近无柄或具被毛的短柄，盾状，直径约1毫米；雄蕊2枚，间有3枚，花药肾形，2裂，比花丝短；,浆果球形，直径3-3.5毫米，无毛，有疣状凸起；,NA,湖北西南部（宜昌、兴山、巴东、恩施）、湖南西部（永顺、东安）、广西北部和西南部（龙胜、灵川、临桂、大鸣山）、贵州北部至西南部（沿河、遵义、安顺）、云南东南至西南部和西北部（西畴经双柏、景东至沧源、梁河、泸水、福贡、贡山）、四川北部（城口、昭化、青川、平武）和南部（绵竹、灌县、什邡、彭县、邛崃、天全、峨眉、马边、雷波、屏山、宜宾、庐州、江津）及东南部（酉阳、南川）、甘肃南部（文县）；,广布于尼泊尔、印度东部、孟加拉和印度尼西亚；,NA,生于林中荫处或湿润地，爬登于石壁上或树上，几；,310-2600m；,花期5-6月；
Piper wangii,Piper wangii M. G. Gilbert & N. H. Xia,景洪胡椒,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piper yinkiangense,Piper yinkiangense Tseng,盈江胡椒,攀援藤本；花枝具纵沟纹，密被柔毛，直径2-3毫米；,NA,NA,NA,叶膜质，密生细腺点，斜卵形， 长11-14厘米，宽6.5-8.5厘米，顶端骤然紧缩而具短尖头，基部斜耳状心形，两耳钝 圆，极不等侧，一耳长而宽，另一耳狭而短，叶柄两侧的凹缺亦不等，宽、长一侧的凹缺宽度为1-2毫米，狭、短一侧的凹缺宽度为4-5毫米，腹面疏被微硬毛，背面被毛较密，通常仅沿脉上有之；叶脉8-9条，最上1对互生，离基1-2厘米从中脉发出，并达叶片顶部，余者均基出，小脉横走，网状脉明显；叶柄短，长约2毫米，密被微硬毛，两侧差距达2-3毫米；叶鞘长1-1.5毫米；,花单性，雌雄异株，聚集成与叶对生的穗状花序；雄花序未见；,果未见；,NA,云南西部（盈江）；,NA,NA,林下湿润地；,约1000m；,花期11月；
Piper yui,Piper yui M. G. Gilbert & N. H. Xia,椭圆叶胡椒,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piper yunnanense,Piper yunnanense Tseng,蒟子,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zippelia begoniifolia,Zippelia begoniifolia Blume ex Schultes & J. H. Schultes,齐头绒,无毛草本；,高40-80厘米；茎、枝具粗纵纹，有明显环状托叶痕，基部数节常生不定根；,NA,NA,叶膜质，密生透明腺点，阔椭圆形、卵状长圆形或卵形，长8-14厘米，宽5-8厘米，顶端短渐尖，基部深或浅心形，常不对称而具2耳；叶脉5-7条，基出，干时带白色，在背面显著凸起，网状脉明显；叶柄长2-5厘米，基部具鞘；托叶膜质，半透明，长椭圆形，长8-25毫米，顶端锐尖；,总状花序远短于总花梗，连总花梗长15-30厘米; 花向顶部渐疏，长1-2毫米；花梗与苞片等长或稍短；苞片卵形，基部贴生于花序轴上，勺状，长1.2-1.5毫米；雄蕊黄白色，连花丝长不足1毫米; 心皮合生，子房卵形，绿白色，长1-2毫米，柱头卵状披针形；,果球形，具柄，直径约5毫米，锚状刺毛长约1.5毫米；,NA,NA,NA,NA,NA,NA,NA
Piper magen,Piper magen B. Q. Cheng ex C. L. Long & Jun Yang,麻根,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piper jianfenglingense,Piper jianfenglingense C. Y. Hao & Y. H. Tan,尖峰岭胡椒,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peperomia blanda var. blanda,,Peperomia blanda var. blanda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peperomia nakaharae,,Peperomia nakaharae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piper lanyuense,,Piper lanyuense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piper arunachalense,"Piper arunachalense Gajurel, Rethy & Y. Kumar",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piper petiolatum,Piper petiolatum C.DC.,具柄胡椒,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piper semi-transparens,,Piper semi-transparens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aristolochia austrochinensis,Aristolochia austrochinensis C. Y. Cheng & J. S. Ma,华南马兜铃,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aristolochia chlamydophylla,Aristolochia chlamydophylla C. Y. Wu ex S. M. Hwang,苞叶马兜铃,草质藤本；,NA,茎细长；,NA,叶卵形或卵状三角形，长8-16厘米，宽5-11厘米，先端短尖，基部深心形，下面灰绿色，网脉密被短茸毛，网眼清晰，密被油点，具香气；叶柄长6-10厘米；,总状花序具8-10花，长4-6厘米，腋生；花梗长0.8-1.2厘米;苞片及小苞片卵形，基部心形，无柄，稍抱茎；花被筒长1.5-2.5厘米，基部球形，径约3毫米，向上骤缢缩成长管，管稍弯，口部漏斗状，檐部一侧延伸成卵状披针形舌片，长约1.5厘米，暗紫色；花药卵形，合蕊柱6裂；,NA,NA,云南（瑞丽）和广西（那坡）；,NA,NA,山坡林下；,1000-1300m；,花期3-4月；
Aristolochia contorta,Aristolochia contorta Bunge,北马兜铃,草质藤本，长达2米以上；,长达2米以上；,茎无毛；,NA,叶卵状心形或三角状心形，长3-13厘米，先端短尖或钝，基部心形，两面无毛；叶柄长2-7厘米；,总状花序具2-8花，稀单花；花序梗极短；花梗长1-2厘米；小苞片卵形；花被筒长2-3厘米，基部球形，径达6毫米，向上骤缢缩成直管，长约1.4厘米，管口漏斗状，檐部一侧扩大成卵状披针形舌片，先端渐窄成长2-3厘米线形弯扭长尾尖，黄绿色，具紫色网纹及纵脉；花药卵圆形，合蕊柱6裂；,蒴果利尿；果称马兜铃，可清热、止咳、平喘;止痛、降血压；种子三角状心形，长3-5毫米，具膜质翅；,种子三角状心形，长3-5毫米，具膜质翅；,辽宁、吉林、黑龙江、内蒙古、河北、河南、山东、山西、陕西、甘肃和湖北；,朝鲜、日本和俄罗斯亦产；,NA,山坡灌丛、沟谷两旁以及林缘，喜气侯较温暖，湿润、肥沃、腐植质丰富的沙壤中；,500-1200m；,花期5-7月，果期8-10月；
Aristolochia debilis,Aristolochia debilis Sieb. et Zucc.,马兜铃,草质藤本；,NA,茎有腐肉味；,NA,叶卵状三角形、长圆状卵形或戟形，长3-6厘米，先端钝圆或短尖，基部宽1.5-3.5厘米，心形，两面无毛；叶柄长1-2厘米；,花单生或2朵并生叶腋；花梗长1-1.5厘米；花被筒长3-3.5厘米，基部球形，与子房连接处具关节，径3-6毫米，向上骤缢缩成长管，管长2-2.5厘米，径2-3毫米，口部漏斗状，黄绿色，具紫斑，檐部一侧延伸成卵状披针形舌片，长2-3厘米，先端钝；花药卵圆形，合蕊柱6裂；,蒴果近球形，长约6厘米；,种子扁平，纯三角形，长约6毫米，具白色膜质宽翅；,长江流域以南各省区以及山东（蒙山）、河南（伏牛山）等；,日本亦产；,NA,山谷、沟边、路旁阴湿处及山坡灌丛中；,200-1500m；,花期7-8月，果期9-11月；
